study,study_code,group,group_code,training_control,outcome_group,outcome,increase_decrease,es_code,n_pre,n_post,m_pre,m_post,m_change,se_pre,se_post,se_change,sd_pre,sd_post,sd_change,change_CI_lower,change_CI_upper,change_t_value,change_p_value,ri,notes
"Balachandran, et al. 2017",1,Plate Loaded,1,training,function,30 s sit to stand (repetitions in 30s),increase,1,17,17,14.3,17.4,,,,,3.4,4.5,,,,,0.001,,
"Balachandran, et al. 2017",1,Pneumatic,2,training,function,30 s sit to stand (repetitions in 30s),increase,2,19,19,14.6,17.2,,,,,2.8,4.1,,,,,0.001,,
"Balachandran, et al. 2017",1,Plate Loaded,1,training,function,5 x sit to stand (time taken to perform 5 repetitions),decrease,3,17,17,10.9,8.9,,,,,2.8,2.9,,,,,,,
"Balachandran, et al. 2017",1,Pneumatic,2,training,function,5 x sit to stand (time taken to perform 5 repetitions),decrease,4,19,19,10.3,8.7,,,,,1.9,1.9,,,,,,,
"Balachandran, et al. 2017",1,Plate Loaded,1,training,function,Timed up and go,decrease,5,17,17,5.5,5,,,,,0.7,0.9,,,,,0.001,,
"Balachandran, et al. 2017",1,Pneumatic,2,training,function,Timed up and go,decrease,6,19,19,5.8,5.3,,,,,0.9,0.9,,,,,0.001,,
"Borges-Silva, et al. 2019",2,Traditional Training,3,training,function,Timed up and go,decrease,7,15,15,10.38,9.75,,,,,1.67,1.33,,,,,0.05,,
"Borges-Silva, et al. 2019",2,Circuit Training,4,training,function,Timed up and go,decrease,8,15,15,10.38,9.24,,,,,1.15,0.95,,,,,0.05,,
"Borges-Silva, et al. 2019",2,Control Group,5,control,function,Timed up and go,decrease,9,10,10,10.32,10.34,,,,,1.11,1.02,,,,,,,
"Buskard, et al. 2019",3,Reps in Reserve,6,training,function,30 s sit to stand (repetitions in 30s),increase,10,21,17,14,15.2,,,,,2.5,3.5,,,,,0.05,,
"Buskard, et al. 2019",3,%1RM,7,training,function,30 s sit to stand (repetitions in 30s),increase,11,20,16,15.2,16.7,,,,,3.5,3.4,,,,,,,
"Buskard, et al. 2019",3,Repetition Maximum,8,training,function,30 s sit to stand (repetitions in 30s),increase,12,21,20,14.3,15.6,,,,,2.6,2.4,,,,,0.05,,
"Buskard, et al. 2019",3,RPE,9,training,function,30 s sit to stand (repetitions in 30s),increase,13,20,20,15.2,15.6,,,,,3.7,3.5,,,,,,,
"Buskard, et al. 2019",3,Reps in Reserve,6,training,function,Timed up and go,decrease,14,21,17,6.2,6,,,,,1.3,1.4,,,,,0.05,,
"Buskard, et al. 2019",3,%1RM,7,training,function,Timed up and go,decrease,15,20,16,5.9,5.4,,,,,1.1,0.8,,,,,0.05,,
"Buskard, et al. 2019",3,Repetition Maximum,8,training,function,Timed up and go,decrease,16,21,20,6.1,5.8,,,,,1.1,1.2,,,,,,,
"Buskard, et al. 2019",3,RPE,9,training,function,Timed up and go,decrease,17,20,20,6.1,5.6,,,,,1.3,1.5,,,,,0.05,,
"Buskard, et al. 2019",3,Reps in Reserve,6,training,upper_body_strength,Chest Press 1RM,increase,18,21,21,33,39.1,,,,,16.2,18.3,,,,,0.05,,
"Buskard, et al. 2019",3,%1RM,7,training,upper_body_strength,Chest Press 1RM,increase,19,20,20,29.7,34.8,,,,,12.1,14.6,,,,,0.05,,
"Buskard, et al. 2019",3,Repetition Maximum,8,training,upper_body_strength,Chest Press 1RM,increase,20,21,21,30.2,34,,,,,15.2,15.7,,,,,0.05,,
"Buskard, et al. 2019",3,RPE,9,training,upper_body_strength,Chest Press 1RM,increase,21,20,20,30.2,33.9,,,,,14,15.8,,,,,0.05,,
"Buskard, et al. 2019",3,Reps in Reserve,6,training,lower_body_strength,Leg Press 1RM,increase,22,21,21,154.8,181.2,,,,,57.1,65,,,,,0.05,,
"Buskard, et al. 2019",3,%1RM,7,training,lower_body_strength,Leg Press 1RM,increase,23,20,20,145.1,167.6,,,,,42.3,57.2,,,,,0.05,,
"Buskard, et al. 2019",3,Repetition Maximum,8,training,lower_body_strength,Leg Press 1RM,increase,24,21,21,148.1,173.6,,,,,49,49.4,,,,,0.05,,
"Buskard, et al. 2019",3,RPE,9,training,lower_body_strength,Leg Press 1RM,increase,25,20,20,147.7,170.7,,,,,48,62.1,,,,,0.05,,
"Filho, et al. 2022",4,Strength-endurance,10,training,function,30 s sit to stand (repetitions in 30s),increase,26,18,18,13.75566,16.92308,,0.4524887,0.6334842,,,,,,,,0.05,"Authors claim in ""Statistical Analyses"" section that results are mean +- SD, but table 3 of strength values states mean +- SE. Also the error bars on figure 3 seem more likely to be SE and so we have included them as SE here.",
"Filho, et al. 2022",4,Power,11,training,function,30 s sit to stand (repetitions in 30s),increase,27,17,17,13.30317,17.55656,,0.7239819,0.5429864,,,,,,,,0.05,"Authors claim in ""Statistical Analyses"" section that results are mean +- SD, but table 3 of strength values states mean +- SE. Also the error bars on figure 3 seem more likely to be SE and so we have included them as SE here.",
