"mean","error","axis","group","mean.x","mean.y","error.x","error.y"
13.75566,0.4524887,"y","orangeGrp",99,134,99,129
16.92308,0.6334842,"y","orangeGrp",352,99,352,92
13.30317,0.7239819,"y","cherryGrp",120,139,120,131
17.55656,0.5429864,"y","cherryGrp",373,92,373,86
11.8552,0.4524887,"y","kiwiGrp",141,155,141,150
15.20362,0.4524887,"y","kiwiGrp",394,118,394,113
12.57919,0.5429864,"y","grapeGrp",162,147,162,141
16.38009,0.4524887,"y","grapeGrp",415,105,415,100
11.9457,0.4524887,"y","berryGrp",184,154,184,149
12.30769,0.4524887,"y","berryGrp",436,150,436,145
