"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
117,"x",NA,117,1.998051,"y",NA,490,"orangeGrp"
117,"x",NA,117,3.947368,"y",NA,450,"orangeGrp"
117,"x",NA,117,3.947368,"y",NA,450,"orangeGrp"
117,"x",NA,117,3.947368,"y",NA,450,"orangeGrp"
117,"x",NA,117,4.97076,"y",NA,429,"orangeGrp"
117,"x",NA,117,5.945419,"y",NA,409,"orangeGrp"
118,"x",NA,118,6.920078,"y",NA,389,"orangeGrp"
118,"x",NA,118,7.992203,"y",NA,367,"orangeGrp"
118,"x",NA,118,7.992203,"y",NA,367,"orangeGrp"
118,"x",NA,118,8.966862,"y",NA,347,"orangeGrp"
117,"x",NA,117,11.01365,"y",NA,305,"orangeGrp"
117,"x",NA,117,11.9883,"y",NA,285,"orangeGrp"
119,"x",NA,119,14.08382,"y",NA,242,"orangeGrp"
117,"x",NA,117,15.05848,"y",NA,222,"orangeGrp"
196,"x",NA,196,3.947368,"y",NA,450,"orangeGrp"
195,"x",NA,195,6.871345,"y",NA,390,"orangeGrp"
197,"x",NA,197,8.966862,"y",NA,347,"orangeGrp"
196,"x",NA,196,13.98635,"y",NA,244,"orangeGrp"
196,"x",NA,196,13.93762,"y",NA,245,"orangeGrp"
197,"x",NA,197,8.918129,"y",NA,348,"orangeGrp"
195,"x",NA,195,9.892788,"y",NA,328,"orangeGrp"
197,"x",NA,197,8.918129,"y",NA,348,"orangeGrp"
196,"x",NA,196,18.95712,"y",NA,142,"orangeGrp"
196,"x",NA,196,11.9883,"y",NA,285,"orangeGrp"
196,"x",NA,196,23.00195,"y",NA,59,"orangeGrp"
195,"x",NA,195,12.03704,"y",NA,284,"orangeGrp"
196,"x",NA,196,18.95712,"y",NA,142,"orangeGrp"
195,"x",NA,195,8.918129,"y",NA,348,"orangeGrp"
