"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
116,"x",NA,116,7.48538,"y",NA,509,"orangeGrp"
117,"x",NA,117,9.824561,"y",NA,499,"orangeGrp"
116,"x",NA,116,11.92982,"y",NA,490,"orangeGrp"
116,"x",NA,116,12.63158,"y",NA,487,"orangeGrp"
116,"x",NA,116,23.62573,"y",NA,440,"orangeGrp"
116,"x",NA,116,27.83626,"y",NA,422,"orangeGrp"
116,"x",NA,116,28.30409,"y",NA,420,"orangeGrp"
116,"x",NA,116,33.45029,"y",NA,398,"orangeGrp"
116,"x",NA,116,40.93567,"y",NA,366,"orangeGrp"
116,"x",NA,116,41.63743,"y",NA,363,"orangeGrp"
116,"x",NA,116,49.82456,"y",NA,328,"orangeGrp"
116,"x",NA,116,79.53216,"y",NA,201,"orangeGrp"
193,"x",NA,193,5.146199,"y",NA,519,"orangeGrp"
193,"x",NA,193,8.654971,"y",NA,504,"orangeGrp"
193,"x",NA,193,16.37427,"y",NA,471,"orangeGrp"
192,"x",NA,192,12.8655,"y",NA,486,"orangeGrp"
192,"x",NA,192,18.0117,"y",NA,464,"orangeGrp"
192,"x",NA,192,20.5848,"y",NA,453,"orangeGrp"
193,"x",NA,193,20.81871,"y",NA,452,"orangeGrp"
193,"x",NA,193,22.69006,"y",NA,444,"orangeGrp"
192,"x",NA,192,26.19883,"y",NA,429,"orangeGrp"
192,"x",NA,192,39.29825,"y",NA,373,"orangeGrp"
193,"x",NA,193,31.11111,"y",NA,408,"orangeGrp"
193,"x",NA,193,33.91813,"y",NA,396,"orangeGrp"
